,function,reqID,start,finish,mergingPoint,host,duration
51,Text2SpeechCensoringWorkflow_GetInput,e69b4fc5f7a44a09a4b1f4bb20cb8d9c,2022-05-30 06:31:46.416,2022-05-30 06:31:46.452,,s,36.0
52,Text2SpeechCensoringWorkflow_GetInput,5b078559a7da47bdbd9431881dbe1cd2,2022-05-30 06:31:45.104,2022-05-30 06:31:45.137,,s,33.0
53,Text2SpeechCensoringWorkflow_GetInput,ad42258166cf40aabab3a22b74b5921a,2022-05-30 06:31:43.846,2022-05-30 06:31:43.882,,s,36.0
54,Text2SpeechCensoringWorkflow_GetInput,ac8c45c133744a718b16790e58d1d83e,2022-05-30 06:31:42.595,2022-05-30 06:31:42.631,,s,36.0
55,Text2SpeechCensoringWorkflow_GetInput,cb74688541054cbfacc23d022c3fd1f5,2022-05-30 06:31:41.312,2022-05-30 06:31:41.350,,s,38.0
56,Text2SpeechCensoringWorkflow_GetInput,d1182d1698044d7e97d6a1fe0111b698,2022-05-30 06:31:40.001,2022-05-30 06:31:40.038,,s,37.0
57,Text2SpeechCensoringWorkflow_GetInput,229f967f0c9a49e8ac8ec929bad2a7fd,2022-05-30 06:31:38.753,2022-05-30 06:31:38.789,,s,36.0
58,Text2SpeechCensoringWorkflow_GetInput,1c172d7547ee44f998214b8236bec5f1,2022-05-30 06:31:37.512,2022-05-30 06:31:37.550,,s,38.0
59,Text2SpeechCensoringWorkflow_GetInput,f8f43ee1efe74913bfa704bfa4c842cd,2022-05-30 06:31:36.280,2022-05-30 06:31:36.316,,s,36.0
60,Text2SpeechCensoringWorkflow_GetInput,38abc795054947efab37701191f705bd,2022-05-30 06:31:35.035,2022-05-30 06:31:35.070,,s,35.0
61,Text2SpeechCensoringWorkflow_GetInput,f870f2ee8f7c4fc294aa2ac149079ae7,2022-05-30 06:31:33.788,2022-05-30 06:31:33.826,,s,38.0
62,Text2SpeechCensoringWorkflow_GetInput,fb956642b9bb424c93926f30ac2bae2d,2022-05-30 06:31:32.544,2022-05-30 06:31:32.585,,s,41.0
63,Text2SpeechCensoringWorkflow_GetInput,ee246bb67a3343cb978cc48a92440a16,2022-05-30 06:31:31.296,2022-05-30 06:31:31.333,,s,37.0
64,Text2SpeechCensoringWorkflow_GetInput,87596fc2b2344b2087376ddf51ba087c,2022-05-30 06:31:30.046,2022-05-30 06:31:30.089,,s,43.0
65,Text2SpeechCensoringWorkflow_GetInput,4e0467f39dc7421293f76230fea5f63e,2022-05-30 06:31:28.819,2022-05-30 06:31:28.854,,s,35.0
66,Text2SpeechCensoringWorkflow_GetInput,27c5386d6ba648f484087a1d0e25008f,2022-05-30 06:31:27.550,2022-05-30 06:31:27.584,,s,34.0
67,Text2SpeechCensoringWorkflow_GetInput,c6e6b0fd659d4e66bf8874a2d265bdd8,2022-05-30 06:31:26.297,2022-05-30 06:31:26.344,,s,47.0
68,Text2SpeechCensoringWorkflow_GetInput,aeee6e5292744efeb5e6acb74fe2accd,2022-05-30 06:31:25.034,2022-05-30 06:31:25.069,,s,35.0
69,Text2SpeechCensoringWorkflow_GetInput,500a37b77413416ca7dff2b3101ca8b0,2022-05-30 06:31:23.764,2022-05-30 06:31:23.806,,s,42.0
70,Text2SpeechCensoringWorkflow_GetInput,1d44e843685547dca5949c315fd22476,2022-05-30 06:31:22.475,2022-05-30 06:31:22.511,,s,36.0
71,Text2SpeechCensoringWorkflow_GetInput,6cf25cb0ad28451694ccf357473acb22,2022-05-30 06:31:21.235,2022-05-30 06:31:21.273,,s,38.0
72,Text2SpeechCensoringWorkflow_GetInput,86410d8080c843348d62d1efa301129c,2022-05-30 06:31:19.979,2022-05-30 06:31:20.016,,s,37.0
73,Text2SpeechCensoringWorkflow_GetInput,66bc54d18e7a4062989e84bfa1d741c4,2022-05-30 06:31:18.622,2022-05-30 06:31:18.657,,s,35.0
74,Text2SpeechCensoringWorkflow_GetInput,4c809407f8b149baa8a4c2a7e5f5eda8,2022-05-30 06:31:17.353,2022-05-30 06:31:17.389,,s,36.0
75,Text2SpeechCensoringWorkflow_GetInput,7409cfa27eb945f6b17a062c36233ba8,2022-05-30 06:31:15.981,2022-05-30 06:31:16.019,,s,38.0
76,Text2SpeechCensoringWorkflow_GetInput,0dde81acef464bc996406ebc32312212,2022-05-30 06:31:14.687,2022-05-30 06:31:14.723,,s,36.0
77,Text2SpeechCensoringWorkflow_GetInput,15eec6dfaf8149e09c212279310b5f04,2022-05-30 06:31:13.441,2022-05-30 06:31:13.475,,s,34.0
78,Text2SpeechCensoringWorkflow_GetInput,54a784324c1a4bf2a3842cb63ab2b368,2022-05-30 06:31:12.192,2022-05-30 06:31:12.226,,s,34.0
79,Text2SpeechCensoringWorkflow_GetInput,49d3ede88da743baa52edd48c2bdd44b,2022-05-30 06:31:10.872,2022-05-30 06:31:10.905,,s,33.0
80,Text2SpeechCensoringWorkflow_GetInput,09700dbcce3e47ccbee0fee009c576fb,2022-05-30 06:31:09.613,2022-05-30 06:31:09.649,,s,36.0
81,Text2SpeechCensoringWorkflow_GetInput,4abab57704084562b63f9dbfbfb5ead3,2022-05-30 06:31:08.327,2022-05-30 06:31:08.367,,s,40.0
82,Text2SpeechCensoringWorkflow_GetInput,ec0033aa493346e1980a9c5ceb26395e,2022-05-30 06:31:07.077,2022-05-30 06:31:07.118,,s,41.0
83,Text2SpeechCensoringWorkflow_GetInput,efb0f6facf564183bc41f5b9709606d3,2022-05-30 06:31:05.834,2022-05-30 06:31:05.870,,s,36.0
84,Text2SpeechCensoringWorkflow_GetInput,441888e06bf7414eaed29ccb12a675fc,2022-05-30 06:31:04.599,2022-05-30 06:31:04.633,,s,34.0
85,Text2SpeechCensoringWorkflow_GetInput,97903f58f7d2439a94e3420b99f30834,2022-05-30 06:31:03.360,2022-05-30 06:31:03.395,,s,35.0
86,Text2SpeechCensoringWorkflow_GetInput,c3d581b62bec4dec9e522cb7c1526a57,2022-05-30 06:31:02.101,2022-05-30 06:31:02.148,,s,47.0
87,Text2SpeechCensoringWorkflow_GetInput,1b2ce154c6e34be2a73478c0b84860ef,2022-05-30 06:31:00.834,2022-05-30 06:31:00.873,,s,39.0
88,Text2SpeechCensoringWorkflow_GetInput,062fbb67de054a8fbf3974a76b6e4697,2022-05-30 06:30:59.157,2022-05-30 06:30:59.384,,s,227.0
89,Text2SpeechCensoringWorkflow_GetInput,5ba407623a794ccaa8be5fda7fc07ada,2022-05-30 06:30:57.914,2022-05-30 06:30:57.953,,s,39.0
90,Text2SpeechCensoringWorkflow_GetInput,e3ef7c3052854e9789f4f5d670bfc14c,2022-05-30 06:30:56.670,2022-05-30 06:30:56.704,,s,34.0
91,Text2SpeechCensoringWorkflow_GetInput,6710097e2c2c4814939fcd67d1cb3812,2022-05-30 06:30:55.052,2022-05-30 06:30:55.269,,s,217.0
92,Text2SpeechCensoringWorkflow_GetInput,50c8192a5ead4cd8bcfe97d3e57c8343,2022-05-30 06:30:53.110,2022-05-30 06:30:53.377,,s,267.0
93,Text2SpeechCensoringWorkflow_GetInput,560cd4807b8e4be7b641bcca50c4d3e7,2022-05-30 06:30:51.837,2022-05-30 06:30:51.882,,s,45.0
94,Text2SpeechCensoringWorkflow_GetInput,2abd60651e9f431899f2bac567c52ccf,2022-05-30 06:30:50.591,2022-05-30 06:30:50.631,,s,40.0
95,Text2SpeechCensoringWorkflow_GetInput,b906f4ade78a492694c01039a9868376,2022-05-30 06:30:49.336,2022-05-30 06:30:49.388,,s,52.0
96,Text2SpeechCensoringWorkflow_GetInput,add7842dd8eb4c4c95b9c5f9cf9f5996,2022-05-30 06:30:48.094,2022-05-30 06:30:48.140,,s,46.0
97,Text2SpeechCensoringWorkflow_GetInput,cd53674a515d4b028439afbdcc9d484d,2022-05-30 06:30:46.441,2022-05-30 06:30:46.696,,s,255.0
98,Text2SpeechCensoringWorkflow_GetInput,2740478e9efe41e495d2f1921e896948,2022-05-30 06:30:45.016,2022-05-30 06:30:45.202,,s,186.0
99,Text2SpeechCensoringWorkflow_GetInput,9cb242e05cff4a0b9233974a3b135c05,2022-05-30 06:30:43.573,2022-05-30 06:30:43.761,,s,188.0
100,Text2SpeechCensoringWorkflow_GetInput,fb3a25e4a0ba4acfb4a5579540359c53,2022-05-30 06:30:42.312,2022-05-30 06:30:42.364,,s,52.0
101,Text2SpeechCensoringWorkflow_GetInput,46dbeb4dd6ed4edba6162a810d9f41c5,2022-05-30 06:30:40.744,2022-05-30 06:30:41.013,,s,269.0
102,Text2SpeechCensoringWorkflow_GetInput,69c6da0d34024db4a4601d8b93fa6493,2022-05-30 06:30:39.467,2022-05-30 06:30:39.530,,s,63.0
103,Text2SpeechCensoringWorkflow_GetInput,f65c3bc83a134a5d8a234367aa3f7689,2022-05-30 06:30:38.146,2022-05-30 06:30:38.256,,s,110.0
104,Text2SpeechCensoringWorkflow_GetInput,a1569fd64666493e8cabca8374f2f2a5,2022-05-30 06:30:33.992,2022-05-30 06:30:36.917,,s,2925.0
105,Text2SpeechCensoringWorkflow_GetInput,573bd25490ff458384e296aed297876f,2022-05-28 19:25:01.095,2022-05-28 19:25:01.168,,s,73.0
106,Text2SpeechCensoringWorkflow_GetInput,42dfe39e94274adb976beab09b3f1660,2022-05-28 19:24:30.801,2022-05-28 19:24:30.971,,s,170.0
107,Text2SpeechCensoringWorkflow_GetInput,2b79ae7fb20641e0b8cb36e252abe8ff,2022-05-28 19:24:00.438,2022-05-28 19:24:00.685,,s,247.0
108,Text2SpeechCensoringWorkflow_GetInput,c34fd61fa1e84b5fa5ceed78df9a5fd1,2022-05-28 19:19:43.953,2022-05-28 19:19:46.388,,s,2435.0
109,Text2SpeechCensoringWorkflow_GetInput,1a2211aa1a014a5694becc85d78b03f4,2022-05-28 17:10:29.670,2022-05-28 17:10:30.162,,s,492.0
110,Text2SpeechCensoringWorkflow_GetInput,482fe373115641c6bfc0426bdfeec88a,2022-05-28 17:04:56.232,2022-05-28 17:04:56.322,,s,90.0
111,Text2SpeechCensoringWorkflow_GetInput,9187427644854ba69700c1a2b7fe7a36,2022-05-28 17:03:59.456,2022-05-28 17:03:59.618,,s,162.0
112,Text2SpeechCensoringWorkflow_GetInput,ab4852c7d0114e1d9120913f6fda8318,2022-05-28 17:03:41.881,2022-05-28 17:03:42.010,,s,129.0
113,Text2SpeechCensoringWorkflow_GetInput,91d0cce6f95241b9b7a5800c943afc3d,2022-05-28 17:03:18.340,2022-05-28 17:03:18.423,,s,83.0
114,Text2SpeechCensoringWorkflow_GetInput,a4b26386c58b45fa899b98dff6762911,2022-05-28 17:02:47.641,2022-05-28 17:02:47.735,,s,94.0
115,Text2SpeechCensoringWorkflow_GetInput,c0904eb177804a0bbf833085b648418a,2022-05-28 17:01:51.783,2022-05-28 17:01:52.025,,s,242.0
116,Text2SpeechCensoringWorkflow_GetInput,ee33851fbb374370bf811c9d5e97b5dd,2022-05-28 16:51:26.567,2022-05-28 16:51:29.016,,s,2449.0
117,Text2SpeechCensoringWorkflow_GetInput,a8a587af0d7c40bf9257ff44b8ff9253,2022-05-28 16:25:50.324,2022-05-28 16:25:50.361,,s,37.0
118,Text2SpeechCensoringWorkflow_GetInput,aef358e815284094835f53df542bd099,2022-05-28 16:25:49.085,2022-05-28 16:25:49.125,,s,40.0
119,Text2SpeechCensoringWorkflow_GetInput,17a8469a6170421e9ec14bc6ce0bcc57,2022-05-28 16:25:47.829,2022-05-28 16:25:47.868,,s,39.0
120,Text2SpeechCensoringWorkflow_GetInput,ebaf8d020d3b44a7af145a43dae7dd95,2022-05-28 16:25:46.582,2022-05-28 16:25:46.619,,s,37.0
121,Text2SpeechCensoringWorkflow_GetInput,9320d73d2f4640f9aa3977e5d619779d,2022-05-28 16:25:45.305,2022-05-28 16:25:45.375,,s,70.0
122,Text2SpeechCensoringWorkflow_GetInput,4879a41c789a492b8fa21cc72df44a8f,2022-05-28 16:25:44.013,2022-05-28 16:25:44.089,,s,76.0
