,mu,quantized_mu,changed,timestamp,average_util,parameter,delta_latency
0,0.48253019232994837,0.33,1,2022-12-13 21:48:58.419888,0.49483429999999995,0.03,-0.5278648407695145
0,0.5172509682206168,0.66,1,2022-12-13 21:49:02.452202,0.5218541,0.03,-0.1665715136404492
0,0.5648505887116069,0.66,0,2022-12-13 21:49:04.510412,0.5661514999999999,0.03,-0.04433201160950971
0,0.6189929568272059,0.66,0,2022-12-13 21:49:06.540895,0.5702256,0.03,0.9653012759131552
0,0.6203424081428,0.66,0,2022-12-13 21:49:08.611832,0.6167784000000001,0.03,0.11225692495080697
0,0.6807549527179341,0.66,0,2022-12-13 21:49:10.664314,0.6883026,0.03,-0.2898019748385914
0,0.7144896941052863,0.66,0,2022-12-13 21:49:12.750335,0.6937396,0.03,0.5257160905493772
0,0.6849959855733888,0.66,0,2022-12-13 21:49:14.856334,0.6961056999999999,0.03,-0.4625495825611101
0,0.6992703431663188,0.66,0,2022-12-13 21:49:16.915708,0.6785990000000001,0.03,0.5241631455919264
0,0.7461013994188471,0.66,0,2022-12-13 21:49:19.003348,0.69386,0.03,1.0084614361796793
0,0.8150909012979046,0.66,0,2022-12-13 21:49:21.093588,0.7107488,0.03,1.4991921596941373
0,0.8108095570900328,0.66,0,2022-12-13 21:49:23.206206,0.7126522000000001,0.03,1.4520614794885849
0,0.7540060610321453,0.66,0,2022-12-13 21:49:25.290523,0.6821021999999999,0.03,1.2228324482524833
0,0.6575105269431454,0.66,0,2022-12-13 21:49:27.378632,0.6809966000000001,0.03,-1.527254890230947
0,0.6755889170614372,0.66,0,2022-12-13 21:49:29.490137,0.6901724,0.03,-0.6657579105419077
0,0.6651771989842389,0.66,0,2022-12-13 21:49:31.534270,0.6855105,0.03,-1.1325104971522517
0,0.6311869432819682,0.66,0,2022-12-13 21:49:33.595635,0.6507577999999999,0.03,-1.0565932558152402
0,0.5705413242568173,0.66,0,2022-12-13 21:49:35.621538,0.59077949,0.03,-1.1227170627456307
0,0.5921302696000111,0.66,0,2022-12-13 21:49:39.649657,0.6088173899999999,0.03,-0.8124654240442067
0,0.5606383453961484,0.66,0,2022-12-13 21:49:41.674164,0.5733306899999999,0.03,-0.5500484695885196
0,0.554696127653923,0.66,0,2022-12-13 21:49:43.701476,0.57504109,0.03,-1.1337175658490548
0,0.5619966372804627,0.66,0,2022-12-13 21:49:45.749201,0.5828652900000001,0.03,-1.1894841316263949
0,0.5909173116556508,0.66,0,2022-12-13 21:49:47.781453,0.61304649,0.03,-1.338034921169066
0,0.6631967391997304,0.66,0,2022-12-13 21:49:49.857461,0.6861058,0.03,-1.4423795816641152
0,0.6596633857453251,0.66,0,2022-12-13 21:49:51.904401,0.6715171,0.03,-0.5027314840242011
0,0.7986175157940075,0.66,0,2022-12-13 21:49:53.969579,0.7176695,0.03,1.3078643837711097
0,0.7427353910887577,0.66,0,2022-12-13 21:49:56.133935,0.7031491000000001,0.03,0.8413701991620988
0,0.7983576968633781,0.66,0,2022-12-13 21:49:58.224777,0.6758257999999999,0.03,1.6261763522743153
0,1,1.0,1,2022-12-13 21:50:00.289376,0.6408264000000001,0.03,3.383161719400967
0,1,1.0,0,2022-12-13 21:50:02.518793,0.6375045,0.03,2.807034091524889
0,1,1.0,0,2022-12-13 21:50:04.639949,0.5921907,0.03,3.895659308425879
0,1,1.0,0,2022-12-13 21:50:06.665498,0.5719954,0.03,3.62182408446378
0,0.8983760458911836,1.0,0,2022-12-13 21:50:08.840209,0.5398327999999999,0.03,2.5612070969857097
0,0.6015428310824308,0.66,1,2022-12-13 21:50:10.916823,0.5666479999999999,0.03,0.7715705945376021
0,0.6084053567341853,0.66,0,2022-12-13 21:50:12.954982,0.5985945000000001,0.03,0.2829422756958776
0,0.6016591980130377,0.66,0,2022-12-13 21:50:15.022320,0.5997624,0.03,0.0613082473238159
0,0.7163918422605743,0.66,0,2022-12-13 21:50:19.091726,0.6728159,0.03,0.8971207191789659
0,0.7470651841940573,0.66,0,2022-12-13 21:50:21.191124,0.6956384000000001,0.03,0.9985068813762215
0,0.7250234573192383,0.66,0,2022-12-13 21:50:23.217553,0.6915896,0.03,0.7488003643566126
0,0.753483925389572,0.66,0,2022-12-13 21:50:25.262390,0.7168644,0.03,0.7978003269346818
0,0.6900967610343839,0.66,0,2022-12-13 21:50:27.285558,0.6855138999999999,0.03,0.1421608318501979
0,0.6717539275546056,0.66,0,2022-12-13 21:50:31.351389,0.6818839999999999,0.03,-0.4119899710735878
0,0.663878677426769,0.66,0,2022-12-13 21:50:33.430273,0.6751994,0.03,-0.4737826312600948
0,0.6264563052033076,0.66,0,2022-12-13 21:50:37.474611,0.6316085,0.03,-0.18842795481860108
0,0.6507516443665055,0.66,0,2022-12-13 21:50:39.525032,0.6510471,0.03,-0.009897338584931595
0,0.630694356950228,0.66,0,2022-12-13 21:50:41.569476,0.6324181000000001,0.03,-0.05917490617490681
0,0.6090875167454459,0.66,0,2022-12-13 21:50:43.593499,0.6108104,0.03,-0.059144499669976175
0,0.6265405579090746,0.66,0,2022-12-13 21:50:45.637564,0.6253955,0.03,0.03745819637998818
0,0.7322805885638183,0.66,0,2022-12-13 21:50:47.664723,0.6088297,0.03,1.6321831899623753
0,0.6274572193469587,0.66,0,2022-12-13 21:50:49.710495,0.6166516,0.03,0.30762241935630763
0,0.7081910728913441,0.66,0,2022-12-13 21:50:51.736605,0.6695103,0.03,0.8282719078178357
0,0.6466169522799634,0.66,0,2022-12-13 21:50:53.762076,0.6264349,0.03,0.5144600568049591
0,0.6540436045459995,0.66,0,2022-12-13 21:50:55.808194,0.6549573000000001,0.03,-0.030929952425817753
0,0.6258471388931182,0.66,0,2022-12-13 21:50:57.833390,0.6258511,0.03,-0.00013204561370100398
0,0.6616873277712966,0.66,0,2022-12-13 21:51:01.861081,0.6585904,0.03,0.09824307983599229
0,0.6653399841132798,0.66,0,2022-12-13 21:51:03.888662,0.6534557999999999,0.03,0.3337109065436727
0,0.6972525239174678,0.66,0,2022-12-13 21:51:07.939406,0.6850755000000002,0.03,0.3406782341772699
0,0.7492434500333748,0.66,0,2022-12-13 21:51:09.991277,0.7326995000000001,0.03,0.43919964655485183
0,0.6809850825483434,0.66,0,2022-12-13 21:51:12.021589,0.7060111,0.03,-1.7969765448629964
0,0.7081965419299932,0.66,0,2022-12-13 21:51:14.088216,0.7322068999999999,0.03,-1.611165749285975
0,0.698592721422035,0.66,0,2022-12-13 21:51:16.193554,0.7194898,0.03,-1.192601984271724
0,0.7080939405190257,0.66,0,2022-12-13 21:51:18.259749,0.7299899000000001,0.03,-1.308834614848495
0,0.7421846663629373,0.66,0,2022-12-13 21:51:20.373530,0.7282548,0.03,0.38139703427531957
0,0.7290183238464079,0.66,0,2022-12-13 21:51:22.457645,0.7465458,0.03,-0.8776692489920763
0,0.7145213394235893,0.66,0,2022-12-13 21:51:24.545682,0.7315522,0.03,-0.8386247368389824
0,0.6608628765406301,0.66,0,2022-12-13 21:51:26.614234,0.6805179000000001,0.03,-1.0646963381685233
0,0.717759,0.66,1,2022-12-13 21:59:10.025774,0.717759,0.03,0.0
0,0.82416775,0.66,0,2022-12-13 21:59:12.405219,0.82416775,0.03,0.0
0,0.7912545261591685,0.66,0,2022-12-13 21:59:14.440102,0.761279,0.03,0.6927392000000004
0,0.7377681933706232,0.66,0,2022-12-13 21:59:16.477138,0.7169277142857143,0.03,0.5274954880000005
0,0.7416831050894127,0.66,0,2022-12-13 21:59:18.565163,0.6712176666666667,0.03,1.2086163904000005
0,1,1.0,1,2022-12-13 21:59:20.653242,0.6582530000000001,0.03,3.0237286784000004
0,1,1.0,0,2022-12-13 21:59:22.785131,0.6041228000000001,0.03,2.6965916403200008
0,0.9172476734682381,1.0,0,2022-12-13 21:59:24.849754,0.5712363,0.03,2.5284220098559995
0,1,1.0,0,2022-12-13 21:59:26.969157,0.5385911000000001,0.03,5.0489781774848
0,1,1.0,0,2022-12-13 21:59:29.045346,0.5122166,0.03,3.3856425218048
0,0.5010494004351667,0.66,1,2022-12-13 21:59:31.159801,0.5284028999999999,0.03,-2.4279592049152
0,0.5306202797284296,0.66,0,2022-12-13 21:59:33.262700,0.551187,0.03,-1.15695354819584
0,0.5572039707462891,0.66,0,2022-12-13 21:59:35.337234,0.5785975999999999,0.03,-1.24869466819584
