,Alpha,Cost,ColdStarts,Cores,Mem
40,0.0,5.385058059692383e-07,4,1000,500000
41,0.0,5.385058059692383e-07,3,1000,500000
42,0.0,5.385058059692383e-07,3,1000,500000
43,0.0,5.385058059692383e-07,2,1000,500000
44,0.0,5.385058059692383e-07,3,1000,500000
45,0.0,5.385058059692383e-07,2,1000,500000
46,0.0,5.385058059692383e-07,2,1000,500000
47,0.0,5.385058059692383e-07,1,1000,500000
48,0.0,5.385058059692383e-07,4,1000,500000
49,0.0,5.385058059692383e-07,3,1000,500000
50,0.0,5.385058059692383e-07,3,1000,500000
51,0.0,5.385058059692383e-07,2,1000,500000
52,0.0,5.385058059692383e-07,3,1000,500000
53,0.0,5.385058059692383e-07,2,1000,500000
54,0.0,5.385058059692383e-07,2,1000,500000
55,0.0,5.385058059692383e-07,1,1000,500000
56,0.0,5.385058059692383e-07,3,1000,500000
57,0.0,5.385058059692383e-07,2,1000,500000
58,0.0,5.385058059692383e-07,2,1000,500000
59,0.0,5.385058059692383e-07,1,1000,500000
60,0.0,5.385058059692383e-07,2,1000,500000
61,0.0,5.385058059692383e-07,1,1000,500000
62,0.0,5.385058059692383e-07,1,1000,500000
63,0.0,5.385058059692383e-07,0,1000,500000
64,0.0,5.385058059692383e-07,7,1000,500000
65,0.0,5.385058059692383e-07,6,1000,500000
66,0.0,5.385058059692383e-07,6,1000,500000
67,0.0,5.385058059692383e-07,5,1000,500000
68,0.0,5.385058059692383e-07,6,1000,500000
69,0.0,5.385058059692383e-07,5,1000,500000
70,0.0,5.385058059692383e-07,5,1000,500000
71,0.0,5.385058059692383e-07,4,1000,500000
72,0.0,5.385058059692383e-07,6,1000,500000
73,0.0,5.385058059692383e-07,5,1000,500000
74,0.0,5.385058059692383e-07,5,1000,500000
75,0.0,5.385058059692383e-07,4,1000,500000
76,0.0,5.385058059692383e-07,5,1000,500000
77,0.0,5.385058059692383e-07,4,1000,500000
78,0.0,5.385058059692383e-07,4,1000,500000
79,0.0,5.385058059692383e-07,3,1000,500000
80,0.0,5.385058059692383e-07,6,1000,500000
81,0.0,5.385058059692383e-07,5,1000,500000
82,0.0,5.385058059692383e-07,5,1000,500000
83,0.0,5.385058059692383e-07,4,1000,500000
84,0.0,5.385058059692383e-07,5,1000,500000
85,0.0,5.385058059692383e-07,4,1000,500000
86,0.0,5.385058059692383e-07,4,1000,500000
87,0.0,5.385058059692383e-07,3,1000,500000
88,0.0,5.385058059692383e-07,5,1000,500000
89,0.0,5.385058059692383e-07,4,1000,500000
90,0.0,5.385058059692383e-07,4,1000,500000
91,0.0,5.385058059692383e-07,3,1000,500000
92,0.0,5.385058059692383e-07,4,1000,500000
93,0.0,5.385058059692383e-07,3,1000,500000
94,0.0,5.385058059692383e-07,3,1000,500000
95,0.0,5.385058059692383e-07,2,1000,500000
96,0.0,5.385058059692383e-07,6,1000,500000
97,0.0,5.385058059692383e-07,5,1000,500000
98,0.0,5.385058059692383e-07,5,1000,500000
99,0.0,5.385058059692383e-07,4,1000,500000
100,0.0,5.385058059692383e-07,5,1000,500000
101,0.0,5.385058059692383e-07,4,1000,500000
102,0.0,5.385058059692383e-07,4,1000,500000
103,0.0,5.385058059692383e-07,3,1000,500000
104,0.0,5.385058059692383e-07,5,1000,500000
105,0.0,5.385058059692383e-07,4,1000,500000
106,0.0,5.385058059692383e-07,4,1000,500000
107,0.0,5.385058059692383e-07,3,1000,500000
108,0.0,5.385058059692383e-07,4,1000,500000
109,0.0,5.385058059692383e-07,3,1000,500000
110,0.0,5.385058059692383e-07,3,1000,500000
111,0.0,5.385058059692383e-07,2,1000,500000
112,0.0,5.385058059692383e-07,5,1000,500000
113,0.0,5.385058059692383e-07,4,1000,500000
114,0.0,5.385058059692383e-07,4,1000,500000
115,0.0,5.385058059692383e-07,3,1000,500000
116,0.0,5.385058059692383e-07,4,1000,500000
117,0.0,5.385058059692383e-07,3,1000,500000
118,0.0,5.385058059692383e-07,3,1000,500000
119,0.0,5.385058059692383e-07,2,1000,500000
120,0.0,5.385058059692383e-07,4,1000,500000
121,0.0,5.385058059692383e-07,3,1000,500000
122,0.0,5.385058059692383e-07,3,1000,500000
123,0.0,5.385058059692383e-07,2,1000,500000
124,0.0,5.385058059692383e-07,3,1000,500000
125,0.0,5.385058059692383e-07,2,1000,500000
126,0.0,5.385058059692383e-07,2,1000,500000
127,0.0,5.385058059692383e-07,1,1000,500000
128,0.2,4.004770320892334e-06,1,1000,500000
129,0.2,2.372770320892334e-06,2,1000,500000
130,0.2,3.439517417907715e-06,1,1000,500000
131,0.2,2.5542645149230957e-06,1,1000,500000
132,0.2,4.004770320892334e-06,0,1000,500000
133,0.2,2.372770320892334e-06,1,1000,500000
134,0.2,3.439517417907715e-06,0,1000,500000
135,0.2,2.5542645149230957e-06,0,1000,500000
136,0.2,3.311517417907715e-06,1,1000,500000
137,0.2,1.6422645149230958e-06,2,1000,500000
138,0.2,2.7462645149230958e-06,1,1000,500000
139,0.2,1.8610116119384766e-06,1,1000,500000
140,0.2,3.311517417907715e-06,0,1000,500000
141,0.2,1.6422645149230958e-06,1,1000,500000
142,0.2,2.7462645149230958e-06,0,1000,500000
143,0.2,1.8610116119384766e-06,0,1000,500000
144,0.2,2.655517417907715e-06,2,1000,500000
145,0.2,2.372770320892334e-06,1,1000,500000
146,0.2,2.655517417907715e-06,1,1000,500000
147,0.2,1.7702645149230957e-06,1,1000,500000
