,Alpha,Cost,ColdStarts
329,0.1,5.385058059692383e-07,5
330,0.1,5.385058059692383e-07,5
331,0.1,5.385058059692383e-07,4
332,0.1,5.385058059692383e-07,5
333,0.1,5.385058059692383e-07,4
334,0.1,5.385058059692383e-07,4
335,0.1,5.385058059692383e-07,3
336,0.1,5.385058059692383e-07,6
337,0.1,5.385058059692383e-07,5
338,0.1,5.385058059692383e-07,5
339,0.1,5.385058059692383e-07,4
340,0.1,5.385058059692383e-07,5
341,0.1,5.385058059692383e-07,4
342,0.1,5.385058059692383e-07,4
343,0.1,5.385058059692383e-07,3
344,0.1,5.385058059692383e-07,5
345,0.1,5.385058059692383e-07,4
346,0.1,5.385058059692383e-07,4
347,0.1,5.385058059692383e-07,3
348,0.1,5.385058059692383e-07,4
349,0.1,5.385058059692383e-07,3
350,0.1,5.385058059692383e-07,3
351,0.1,5.385058059692383e-07,2
352,0.1,5.385058059692383e-07,6
353,0.1,5.385058059692383e-07,5
354,0.1,5.385058059692383e-07,5
355,0.1,5.385058059692383e-07,4
356,0.1,5.385058059692383e-07,5
357,0.1,5.385058059692383e-07,4
358,0.1,5.385058059692383e-07,4
359,0.1,5.385058059692383e-07,3
360,0.1,5.385058059692383e-07,5
361,0.1,5.385058059692383e-07,4
362,0.1,5.385058059692383e-07,4
363,0.1,5.385058059692383e-07,3
364,0.1,5.385058059692383e-07,4
365,0.1,5.385058059692383e-07,3
366,0.1,5.385058059692383e-07,3
367,0.1,5.385058059692383e-07,2
368,0.1,5.385058059692383e-07,5
369,0.1,5.385058059692383e-07,4
370,0.1,5.385058059692383e-07,4
371,0.1,5.385058059692383e-07,3
372,0.1,5.385058059692383e-07,4
373,0.1,5.385058059692383e-07,3
374,0.1,5.385058059692383e-07,3
375,0.1,5.385058059692383e-07,2
376,0.1,5.385058059692383e-07,4
377,0.1,5.385058059692383e-07,3
378,0.1,5.385058059692383e-07,3
379,0.1,5.385058059692383e-07,2
380,0.1,5.385058059692383e-07,3
381,0.1,5.385058059692383e-07,2
382,0.1,5.385058059692383e-07,2
383,0.1,5.385058059692383e-07,1
384,0.15,4.004770320892334e-06,1
385,0.15,2.372770320892334e-06,2
386,0.15,1.7702645149230957e-06,3
387,0.15,1.7702645149230957e-06,2
388,0.15,4.004770320892334e-06,0
389,0.15,2.372770320892334e-06,1
390,0.15,1.7702645149230957e-06,2
391,0.15,1.7702645149230957e-06,1
392,0.15,3.311517417907715e-06,1
393,0.15,2.463517417907715e-06,1
394,0.15,1.8610116119384766e-06,2
395,0.15,1.8610116119384766e-06,1
396,0.15,3.311517417907715e-06,0
397,0.15,2.463517417907715e-06,0
398,0.15,1.8610116119384766e-06,1
399,0.15,1.0397587089538575e-06,1
400,0.15,3.220770320892334e-06,1
401,0.15,2.372770320892334e-06,1
402,0.15,1.7702645149230957e-06,2
403,0.15,1.7702645149230957e-06,1
404,0.15,3.220770320892334e-06,0
405,0.15,2.372770320892334e-06,0
406,0.15,1.7702645149230957e-06,1
407,0.15,1.7702645149230957e-06,0
408,0.15,2.490264514923096e-06,1
409,0.15,1.6422645149230958e-06,1
410,0.15,1.0397587089538575e-06,2
411,0.15,1.0397587089538575e-06,1
412,0.15,2.490264514923096e-06,0
413,0.15,1.6422645149230958e-06,0
414,0.15,1.0397587089538575e-06,1
415,0.15,1.0397587089538575e-06,0
416,0.15,2.6927703208923337e-06,2
417,0.15,2.6927703208923337e-06,1
418,0.15,2.0530116119384765e-06,2
419,0.15,2.0530116119384765e-06,1
420,0.15,2.6927703208923337e-06,1
421,0.15,2.6927703208923337e-06,0
422,0.15,2.0530116119384765e-06,1
423,0.15,2.0530116119384765e-06,0
424,0.15,1.999517417907715e-06,2
425,0.15,1.1782645149230957e-06,2
426,0.15,5.385058059692383e-07,3
427,0.15,5.385058059692383e-07,2
428,0.15,1.999517417907715e-06,1
429,0.15,1.1782645149230957e-06,1
430,0.15,5.385058059692383e-07,2
431,0.15,5.385058059692383e-07,1
432,0.15,1.9087703208923337e-06,2
433,0.15,1.9087703208923337e-06,1
434,0.15,1.2690116119384764e-06,2
435,0.15,1.2690116119384764e-06,1
436,0.15,1.9087703208923337e-06,1
437,0.15,1.9087703208923337e-06,0
438,0.15,1.2690116119384764e-06,1
439,0.15,1.2690116119384764e-06,0
440,0.15,1.1782645149230957e-06,2
441,0.15,1.1782645149230957e-06,1
442,0.15,5.385058059692383e-07,2
443,0.15,5.385058059692383e-07,1
444,0.15,1.1782645149230957e-06,1
445,0.15,1.1782645149230957e-06,0
446,0.15,5.385058059692383e-07,1
447,0.15,5.385058059692383e-07,0
448,0.15,4.004770320892334e-06,2
449,0.15,2.372770320892334e-06,3
450,0.15,1.7702645149230957e-06,4
451,0.15,1.7702645149230957e-06,3
452,0.15,4.004770320892334e-06,1
453,0.15,2.372770320892334e-06,2
454,0.15,1.7702645149230957e-06,3
455,0.15,1.7702645149230957e-06,2
456,0.15,3.311517417907715e-06,2
457,0.15,2.463517417907715e-06,2
458,0.15,1.0397587089538575e-06,4
459,0.15,1.8610116119384766e-06,2
460,0.15,3.311517417907715e-06,1
461,0.15,2.463517417907715e-06,1
462,0.15,1.8610116119384766e-06,2
463,0.15,1.0397587089538575e-06,2
464,0.15,3.220770320892334e-06,2
465,0.15,2.372770320892334e-06,2
466,0.15,1.7702645149230957e-06,3
467,0.15,1.7702645149230957e-06,2
468,0.15,3.220770320892334e-06,1
469,0.15,2.372770320892334e-06,1
470,0.15,1.7702645149230957e-06,2
471,0.15,1.7702645149230957e-06,1
472,0.15,2.490264514923096e-06,2
473,0.15,1.6422645149230958e-06,2
474,0.15,1.0397587089538575e-06,3
475,0.15,1.0397587089538575e-06,2
476,0.15,2.490264514923096e-06,1
477,0.15,1.6422645149230958e-06,1
478,0.15,1.0397587089538575e-06,2
479,0.15,1.0397587089538575e-06,1
480,0.15,2.6927703208923337e-06,3
481,0.15,2.6927703208923337e-06,2
482,0.15,2.0530116119384765e-06,3
483,0.15,2.0530116119384765e-06,2
484,0.15,2.6927703208923337e-06,2
485,0.15,2.6927703208923337e-06,1
486,0.15,2.0530116119384765e-06,2
