,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
102,0.05,5.012529029846192e-07,4,"[1, 0, 0, 1, 1, 0]",38
103,0.05,5.012529029846192e-07,3,"[1, 0, 0, 1, 1, 1]",39
104,0.05,5.012529029846192e-07,5,"[1, 0, 1, 0, 0, 0]",40
105,0.05,5.012529029846192e-07,4,"[1, 0, 1, 0, 0, 1]",41
106,0.05,5.012529029846192e-07,4,"[1, 0, 1, 0, 1, 0]",42
107,0.05,5.012529029846192e-07,3,"[1, 0, 1, 0, 1, 1]",43
108,0.05,5.012529029846192e-07,4,"[1, 0, 1, 1, 0, 0]",44
109,0.05,5.012529029846192e-07,3,"[1, 0, 1, 1, 0, 1]",45
110,0.05,5.012529029846192e-07,3,"[1, 0, 1, 1, 1, 0]",46
111,0.05,5.012529029846192e-07,2,"[1, 0, 1, 1, 1, 1]",47
112,0.05,5.012529029846192e-07,5,"[1, 1, 0, 0, 0, 0]",48
113,0.05,5.012529029846192e-07,4,"[1, 1, 0, 0, 0, 1]",49
114,0.05,5.012529029846192e-07,4,"[1, 1, 0, 0, 1, 0]",50
115,0.05,5.012529029846192e-07,3,"[1, 1, 0, 0, 1, 1]",51
116,0.05,5.012529029846192e-07,4,"[1, 1, 0, 1, 0, 0]",52
117,0.05,5.012529029846192e-07,3,"[1, 1, 0, 1, 0, 1]",53
118,0.05,5.012529029846192e-07,3,"[1, 1, 0, 1, 1, 0]",54
119,0.05,5.012529029846192e-07,2,"[1, 1, 0, 1, 1, 1]",55
120,0.05,5.012529029846192e-07,4,"[1, 1, 1, 0, 0, 0]",56
121,0.05,5.012529029846192e-07,3,"[1, 1, 1, 0, 0, 1]",57
122,0.05,5.012529029846192e-07,3,"[1, 1, 1, 0, 1, 0]",58
123,0.05,5.012529029846192e-07,2,"[1, 1, 1, 0, 1, 1]",59
124,0.05,5.012529029846192e-07,3,"[1, 1, 1, 1, 0, 0]",60
125,0.05,5.012529029846192e-07,2,"[1, 1, 1, 1, 0, 1]",61
126,0.05,5.012529029846192e-07,2,"[1, 1, 1, 1, 1, 0]",62
127,0.05,5.012529029846192e-07,1,"[1, 1, 1, 1, 1, 1]",63
128,0.1,5.012529029846192e-07,5,"[0, 0, 0, 0, 0, 0]",0
129,0.1,5.012529029846192e-07,4,"[0, 0, 0, 0, 0, 1]",1
130,0.1,5.012529029846192e-07,4,"[0, 0, 0, 0, 1, 0]",2
131,0.1,5.012529029846192e-07,3,"[0, 0, 0, 0, 1, 1]",3
132,0.1,5.012529029846192e-07,4,"[0, 0, 0, 1, 0, 0]",4
133,0.1,5.012529029846192e-07,3,"[0, 0, 0, 1, 0, 1]",5
134,0.1,5.012529029846192e-07,3,"[0, 0, 0, 1, 1, 0]",6
135,0.1,5.012529029846192e-07,2,"[0, 0, 0, 1, 1, 1]",7
136,0.1,5.012529029846192e-07,4,"[0, 0, 1, 0, 0, 0]",8
137,0.1,5.012529029846192e-07,3,"[0, 0, 1, 0, 0, 1]",9
138,0.1,5.012529029846192e-07,3,"[0, 0, 1, 0, 1, 0]",10
139,0.1,5.012529029846192e-07,2,"[0, 0, 1, 0, 1, 1]",11
140,0.1,5.012529029846192e-07,3,"[0, 0, 1, 1, 0, 0]",12
141,0.1,5.012529029846192e-07,2,"[0, 0, 1, 1, 0, 1]",13
