,Alpha,Cost,ColdStarts,Cores,Mem
1401,0.6,7.813011611938478e-06,2,1000,5000
1402,0.6,7.813011611938478e-06,2,1000,5000
1403,0.6,7.813011611938478e-06,3,1000,5000
1404,0.6,7.813011611938478e-06,2,1000,5000
1405,0.6,7.813011611938478e-06,3,1000,5000
1406,0.6,7.813011611938478e-06,3,1000,5000
1407,0.6,7.813011611938478e-06,4,1000,5000
1408,0.8,1.2650264514923099e-05,0,1000,5000
1409,0.8,1.0250264514923098e-05,0,1000,5000
1410,0.8,1.0250264514923098e-05,0,1000,5000
1411,0.8,7.813011611938478e-06,0,1000,5000
1412,0.8,1.0250264514923098e-05,0,1000,5000
1413,0.8,7.850264514923097e-06,0,1000,5000
1414,0.8,7.813011611938478e-06,0,1000,5000
1415,0.8,7.813011611938478e-06,1,1000,5000
1416,0.8,1.0250264514923098e-05,0,1000,5000
1417,0.8,7.850264514923097e-06,0,1000,5000
1418,0.8,7.850264514923097e-06,0,1000,5000
1419,0.8,7.813011611938478e-06,1,1000,5000
1420,0.8,7.813011611938478e-06,0,1000,5000
1421,0.8,7.813011611938478e-06,1,1000,5000
1422,0.8,7.813011611938478e-06,1,1000,5000
1423,0.8,7.813011611938478e-06,2,1000,5000
1424,0.8,1.0250264514923098e-05,0,1000,5000
1425,0.8,7.850264514923097e-06,0,1000,5000
1426,0.8,7.850264514923097e-06,0,1000,5000
1427,0.8,7.813011611938478e-06,1,1000,5000
1428,0.8,7.850264514923097e-06,0,1000,5000
1429,0.8,7.850264514923097e-06,1,1000,5000
1430,0.8,7.813011611938478e-06,1,1000,5000
1431,0.8,7.813011611938478e-06,2,1000,5000
1432,0.8,7.813011611938478e-06,0,1000,5000
1433,0.8,7.813011611938478e-06,1,1000,5000
1434,0.8,7.813011611938478e-06,1,1000,5000
1435,0.8,7.813011611938478e-06,2,1000,5000
1436,0.8,7.813011611938478e-06,1,1000,5000
1437,0.8,7.813011611938478e-06,2,1000,5000
1438,0.8,7.813011611938478e-06,2,1000,5000
1439,0.8,7.813011611938478e-06,3,1000,5000
1440,0.8,1.2650264514923099e-05,1,1000,5000
1441,0.8,1.0250264514923098e-05,1,1000,5000
1442,0.8,1.0250264514923098e-05,1,1000,5000
1443,0.8,7.813011611938478e-06,1,1000,5000
1444,0.8,1.0250264514923098e-05,1,1000,5000
1445,0.8,7.850264514923097e-06,1,1000,5000
1446,0.8,7.813011611938478e-06,1,1000,5000
1447,0.8,7.813011611938478e-06,2,1000,5000
1448,0.8,1.0250264514923098e-05,1,1000,5000
1449,0.8,7.850264514923097e-06,1,1000,5000
1450,0.8,7.850264514923097e-06,1,1000,5000
1451,0.8,7.813011611938478e-06,2,1000,5000
1452,0.8,7.813011611938478e-06,1,1000,5000
1453,0.8,7.813011611938478e-06,2,1000,5000
1454,0.8,7.813011611938478e-06,2,1000,5000
1455,0.8,7.813011611938478e-06,3,1000,5000
1456,0.8,1.0250264514923098e-05,1,1000,5000
1457,0.8,7.850264514923097e-06,1,1000,5000
1458,0.8,7.850264514923097e-06,1,1000,5000
1459,0.8,7.813011611938478e-06,2,1000,5000
1460,0.8,7.850264514923097e-06,1,1000,5000
1461,0.8,7.850264514923097e-06,2,1000,5000
1462,0.8,7.813011611938478e-06,2,1000,5000
1463,0.8,7.813011611938478e-06,3,1000,5000
1464,0.8,7.813011611938478e-06,1,1000,5000
1465,0.8,7.813011611938478e-06,2,1000,5000
1466,0.8,7.813011611938478e-06,2,1000,5000
1467,0.8,7.813011611938478e-06,3,1000,5000
1468,0.8,7.813011611938478e-06,2,1000,5000
1469,0.8,7.813011611938478e-06,3,1000,5000
1470,0.8,7.813011611938478e-06,3,1000,5000
1471,0.8,7.813011611938478e-06,4,1000,5000
1472,1.0,1.2650264514923099e-05,0,1000,5000
1473,1.0,1.0250264514923098e-05,0,1000,5000
1474,1.0,1.0250264514923098e-05,0,1000,5000
1475,1.0,7.813011611938478e-06,0,1000,5000
1476,1.0,1.0250264514923098e-05,0,1000,5000
1477,1.0,7.850264514923097e-06,0,1000,5000
1478,1.0,7.813011611938478e-06,0,1000,5000
