,Alpha,Cost,ColdStarts
164,0.1,5.012529029846192e-07,5
165,0.1,5.012529029846192e-07,4
166,0.1,5.012529029846192e-07,4
167,0.1,5.012529029846192e-07,3
168,0.1,5.012529029846192e-07,5
169,0.1,5.012529029846192e-07,4
170,0.1,5.012529029846192e-07,4
171,0.1,5.012529029846192e-07,3
172,0.1,5.012529029846192e-07,4
173,0.1,5.012529029846192e-07,3
174,0.1,5.012529029846192e-07,3
175,0.1,5.012529029846192e-07,2
176,0.1,5.012529029846192e-07,5
177,0.1,5.012529029846192e-07,4
178,0.1,5.012529029846192e-07,4
179,0.1,5.012529029846192e-07,3
180,0.1,5.012529029846192e-07,4
181,0.1,5.012529029846192e-07,3
182,0.1,5.012529029846192e-07,3
183,0.1,5.012529029846192e-07,2
184,0.1,5.012529029846192e-07,4
185,0.1,5.012529029846192e-07,3
186,0.1,5.012529029846192e-07,3
187,0.1,5.012529029846192e-07,2
188,0.1,5.012529029846192e-07,3
189,0.1,5.012529029846192e-07,2
190,0.1,5.012529029846192e-07,2
191,0.1,5.012529029846192e-07,1
192,0.15,5.012529029846192e-07,5
193,0.15,5.012529029846192e-07,4
194,0.15,5.012529029846192e-07,4
195,0.15,5.012529029846192e-07,3
196,0.15,5.012529029846192e-07,4
197,0.15,5.012529029846192e-07,3
198,0.15,5.012529029846192e-07,3
199,0.15,5.012529029846192e-07,2
200,0.15,5.012529029846192e-07,4
201,0.15,5.012529029846192e-07,3
202,0.15,5.012529029846192e-07,3
203,0.15,5.012529029846192e-07,2
204,0.15,5.012529029846192e-07,3
205,0.15,5.012529029846192e-07,2
206,0.15,5.012529029846192e-07,2
207,0.15,5.012529029846192e-07,1
208,0.15,5.012529029846192e-07,4
209,0.15,5.012529029846192e-07,3
210,0.15,5.012529029846192e-07,3
211,0.15,5.012529029846192e-07,2
212,0.15,5.012529029846192e-07,3
213,0.15,5.012529029846192e-07,2
214,0.15,5.012529029846192e-07,2
215,0.15,5.012529029846192e-07,1
216,0.15,5.012529029846192e-07,3
217,0.15,5.012529029846192e-07,2
218,0.15,5.012529029846192e-07,2
219,0.15,5.012529029846192e-07,1
220,0.15,5.012529029846192e-07,2
221,0.15,5.012529029846192e-07,1
222,0.15,5.012529029846192e-07,1
223,0.15,5.012529029846192e-07,0
224,0.15,5.012529029846192e-07,6
225,0.15,5.012529029846192e-07,5
226,0.15,5.012529029846192e-07,5
227,0.15,5.012529029846192e-07,4
228,0.15,5.012529029846192e-07,5
229,0.15,5.012529029846192e-07,4
230,0.15,5.012529029846192e-07,4
231,0.15,5.012529029846192e-07,3
232,0.15,5.012529029846192e-07,5
233,0.15,5.012529029846192e-07,4
234,0.15,5.012529029846192e-07,4
235,0.15,5.012529029846192e-07,3
236,0.15,5.012529029846192e-07,4
237,0.15,5.012529029846192e-07,3
238,0.15,5.012529029846192e-07,3
239,0.15,5.012529029846192e-07,2
240,0.15,5.012529029846192e-07,5
241,0.15,5.012529029846192e-07,4
242,0.15,5.012529029846192e-07,4
243,0.15,5.012529029846192e-07,3
244,0.15,5.012529029846192e-07,4
245,0.15,5.012529029846192e-07,3
246,0.15,5.012529029846192e-07,3
247,0.15,5.012529029846192e-07,2
248,0.15,5.012529029846192e-07,4
249,0.15,5.012529029846192e-07,3
250,0.15,5.012529029846192e-07,3
251,0.15,5.012529029846192e-07,2
252,0.15,5.012529029846192e-07,3
253,0.15,5.012529029846192e-07,2
